Time, Temp
10,229
20,229
30,228
40,228
51,228
61,228
72,228
82,229
93,229
103,229
113,228
123,228
135,228
145,229
155,229
165,227
176,228
186,227
197,229
207,229
218,229
228,229
238,228
248,229
260,227
270,229
280,228
290,228
301,228
312,228
322,227
332,229
343,228
353,228
363,228
374,228
385,228
395,228
405,228
415,229
425,229
437,228
447,228
457,229
467,227
478,230
489,228
499,228
509,228
520,228
530,229
540,228
551,228
562,228
572,228
582,228
592,229
603,228
614,229
624,227
634,228
645,228
655,229
665,229
676,228
687,228
697,229
707,229
717,228
729,228
739,228
749,227
759,229
770,228
780,229
791,228
801,229
812,229
822,229
832,228
842,229
854,227
864,228
874,228
884,228
894,228
906,227
916,228
926,227
936,228
947,228
957,228
968,228
978,228
989,228
999,229
1009,228
1020,227
1031,227
1041,227
1051,227
1061,229
1073,228
1083,228
1093,227
1103,228
1115,228
1125,228
1135,229
1145,228
1156,228
1167,228
1177,228
1187,228
1198,228
1209,228
1219,228
1229,228
1240,227
1250,228
1261,228
1271,228
1282,228
1292,228
1303,228
1313,228
1324,227
1334,228
1344,228
1355,227
1366,228
1376,229
1386,228
1397,228
1408,229
1418,228
1428,227
1438,229
1449,228
1460,227
1470,229
1480,229
1491,228
1502,228
1512,228
1522,229
1532,228
1544,228
1554,227
1564,229
1574,227
1586,227
1596,227
1606,229
1616,228
1627,228
1638,228
1648,227
1658,228
1669,228
1680,228
1690,228
1700,228
1711,227
1721,227
1732,227
1742,228
1753,228
1763,227
1774,229
1784,228
1795,228
1805,227
1815,228
1826,228
1837,228
1847,228
1857,228
1868,227
1879,228
1889,228
1899,228
1909,227
1921,227
1931,228
1941,228
1951,228
1963,228
1973,229
1983,227
1993,227
2003,228
2015,229
2025,227
2035,228
2045,229
2057,228
2067,228
2077,228
2087,228
2098,227
2109,229
2119,228
2129,228
2140,229
2151,229
2161,228
2171,228
2182,228
2192,227
2203,229
2213,228
2224,227
2234,228
2245,228
2255,228
2266,228
2276,228
2286,228
2297,228
2308,227
2318,228
2328,228
2339,229
2350,228
2360,228
2370,228
2380,230
2392,228
2402,228
2412,229
2422,229
2434,228
2444,228
2454,228
2464,228
2475,229
2486,228
2496,229
2506,228
2516,229
2528,228
2538,229
2548,229
2558,228
2569,227
2580,228
2590,229
2600,228
2611,228
2622,228
2632,228
2642,228
2653,229
2663,229
2674,228
2684,230
2695,229
2705,228
2716,228
2726,229
2737,227
2747,229
2757,229
2768,229
2779,228
2789,230
2799,228
2810,229
