Time,Voltage
5791152,2.11
5805712,1.60
5820272,2.18
5834840,2.80
5849396,3.09
5863952,2.32
5878512,1.74
5893072,1.94
5907632,2.61
5922192,3.14
5936752,2.53
5951312,1.92
5965884,1.66
5980432,2.40
5994992,2.98
6009552,2.79
6024112,2.11
6038672,1.59
6053232,2.18
6067792,2.80
6082356,3.07
6096920,2.31
6111472,1.75
6126032,1.94
6140592,2.61
6155152,3.14
6169716,2.54
6184272,1.92
6198840,1.65
6213392,2.41
6227952,2.98
6242512,2.80
6257072,2.10
6271632,1.59
6286192,2.19
6300760,2.80
6315316,3.09
6329872,2.31
6344432,1.75
6358992,1.94
6373552,2.61
6388112,3.14
6402672,2.54
6417232,1.93
6431804,1.66
6446352,2.40
6460912,2.98
6475472,2.79
6490032,2.10
6504592,1.60
6519152,2.18
6533712,2.80
6548276,3.08
6562836,2.31
6577392,1.74
6591952,1.93
6606512,2.61
6621072,3.14
6635636,2.53
6650192,1.93
6664760,1.65
6679312,2.41
6693872,2.97
6708432,2.79
6722992,2.11
6737552,1.60
6752112,2.18
6766680,2.80
6781236,3.08
6795792,2.32
6810352,1.75
6824912,1.94
6839472,2.61
6854032,3.14
6868592,2.53
6883152,1.93
6897724,1.66
6912272,2.41
6926832,2.98
6941392,2.79
6955952,2.10
6970512,1.60
6985072,2.18
6999632,2.80
7014196,3.07
7028756,2.31
7043312,1.75
7057872,1.93
7072432,2.61
7086992,3.14
7101556,2.53
7116112,1.93
7130676,1.64
7145232,2.40
7159792,2.98
7174352,2.80
7188912,2.11
7203472,1.59
7218032,2.19
7232600,2.80
7247156,3.08
7261712,2.31
7276272,1.74
7290832,1.94
7305392,2.61
7319952,3.13
7334512,2.54
7349072,1.93
7363644,1.66
7378192,2.40
7392752,2.98
7407312,2.80
7421872,2.11
7436432,1.59
7450992,2.18
7465552,2.81
7480116,3.08
7494676,2.31
7509232,1.75
7523792,1.93
7538352,2.61
7552912,3.14
7567476,2.54
7582032,1.92
7596596,1.65
7611152,2.41
7625712,2.98
7640272,2.80
7654832,2.11
7669392,1.60
7683952,2.19
7698516,2.80
7713076,3.08
7727632,2.32
7742192,1.75
7756752,1.94
7771312,2.61
7785872,3.14
7800432,2.53
7814992,1.93
7829564,1.66
7844112,2.40
7858672,2.98
7873232,2.79
7887792,2.11
7902352,1.60
7916912,2.19
7931472,2.80
7946036,3.07
7960600,2.31
7975152,1.75
7989712,1.94
8004272,2.61
8018832,3.14
8033396,2.54
8047952,1.94
8062520,1.65
8077072,2.40
8091632,2.97
8106192,2.79
8120752,2.12
8135312,1.59
8149872,2.19
8164440,2.80
8178996,3.08
8193552,2.31
8208112,1.74
8222672,1.93
8237232,2.62
8251792,3.14
8266352,2.53
8280912,1.92
8295484,1.66
8310032,2.41
8324592,2.98
8339152,2.78
8353712,2.11
8368272,1.59
8382832,2.18
8397392,2.80
8411956,3.08
8426516,2.31
8441072,1.75
8455632,1.94
8470192,2.61
8484752,3.13
8499316,2.53
8513872,1.93
8528436,1.66
8542992,2.40
8557552,2.98
8572112,2.79
8586672,2.12
8601232,1.58
8615792,2.18
8630356,2.80
8644916,3.08
8659472,2.32
8674032,1.75
8688592,1.93
8703152,2.61
8717712,3.15
8732272,2.53
8746832,1.92
8761404,1.66
8775952,2.40
8790512,2.98
8805072,2.79
8819632,2.12
8834192,1.59
8848752,2.19
8863312,2.80
8877876,3.08
8892440,2.31
8906992,1.75
8921552,1.94
8936112,2.61
8950672,3.14
8965236,2.53
8979792,1.93
8994356,1.65
9008912,2.41
9023472,2.98
9038032,2.79
9052592,2.12
9067152,1.59
9081712,2.18
9096280,2.80
9110836,3.08
9125392,2.32
9139952,1.75
9154512,1.94
9169072,2.61
9183632,3.15
9198192,2.54
9212752,1.93
9227324,1.66
9241872,2.41
9256432,2.98
9270992,2.79
9285552,2.11
9300112,1.60
9314672,2.18
9329232,2.80
9343800,3.07
9358356,2.31
9372912,1.75
9387472,1.94
9402032,2.61
9416592,3.13
9431156,2.53
9445712,1.93
9460276,1.65
9474832,2.41
9489392,2.98
9503952,2.80
9518512,2.11
9533072,1.59
9547632,2.19
9562196,2.80
9576756,3.08
9591312,2.31
9605872,1.75
9620432,1.94
9634992,2.61
9649552,3.14
9664112,2.54
9678672,1.92
9693244,1.66
9707792,2.41
9722352,2.98
9736912,2.79
9751472,2.11
9766032,1.59
9780592,2.19
9795152,2.80
9809716,3.08
9824280,2.32
9838832,1.75
9853392,1.94
9867952,2.61
9882512,3.14
9897076,2.54
9911632,1.93
9926196,1.65
9940752,2.40
9955312,2.98
9969872,2.79
9984432,2.10
9998992,1.59
10013552,2.18
10029160,3.22
10044752,1.93
10060352,2.30
10075956,3.08
10091556,1.84
10107152,2.41
10122752,2.93
10138352,1.75
10153952,2.51
10169552,2.78
10185152,1.67
10200752,2.61
10216352,2.66
10231952,1.59
10247552,2.72
10263152,2.55
10278752,1.52
10294360,2.80
10309952,2.42
10325560,1.65
10341152,2.89
10356756,2.31
10372352,1.80
10387952,2.98
10403552,2.21
10419152,1.94
10434752,3.05
10450352,2.11
10465952,2.06
10481552,3.13
10497152,2.01
10512752,2.19
10528352,3.21
10543952,1.93
10559560,2.30
10575156,3.07
10590752,1.84
10606352,2.41
10621960,2.92
10637552,1.75
10653152,2.51
10668752,2.79
10684352,1.67
10699952,2.62
10715552,2.66
10731152,1.59
10746752,2.71
10762356,2.54
10777952,1.53
10793552,2.80
10809152,2.42
10824764,1.65
10840352,2.89
10855952,2.31
10871552,1.79
10887152,2.98
10902752,2.20
10918352,1.94
10933952,3.05
10949552,2.12
10965152,2.07
10980752,3.14
10996352,2.00
11011952,2.18
11027556,3.21
11043152,1.92
11058752,2.30
11074356,3.08
11089956,1.84
11105552,2.41
11121152,2.93
11136752,1.75
11152352,2.51
11167952,2.78
11183552,1.67
11199152,2.61
11214752,2.66
11230352,1.60
11245952,2.71
11261552,2.54
11277152,1.52
11292756,2.81
11308352,2.42
11323956,1.65
11339552,2.89
11355160,2.31
11370752,1.80
11386352,2.99
11401952,2.21
11417552,1.94
11433152,3.06
11448752,2.12
11464352,2.07
11479952,3.14
11495552,2.01
11511152,2.18
11526752,3.21
11542352,1.93
11557956,2.30
11573560,3.08
11589152,1.83
11604752,2.41
11620356,2.93
11635952,1.75
11651552,2.51
11667152,2.79
11682752,1.67
11698352,2.62
11713952,2.66
11729552,1.60
11745152,2.72
11760756,2.53
11776352,1.53
11791952,2.80
11807552,2.43
11823164,1.66
11838752,2.89
11854352,2.31
11869952,1.80
11885552,2.98
11901152,2.20
11916752,1.94
11932352,3.05
11947952,2.11
11963552,2.06
11979152,3.14
11994752,2.01
12010352,2.19
