5,130
10,130
16,132
22,133
27,128
33,132
39,129
44,133
50,128
55,126
61,133
67,134
72,128
78,128
83,133
89,127
95,129
100,129
106,128
112,133
117,129
123,128
129,128
134,131
140,129
146,129
151,129
157,128
163,132
168,133
174,126
180,128
185,131
191,128
197,127
202,130
208,134
214,126
219,131
225,127
231,126
236,131
242,129
248,127
253,129
259,132
265,126
270,132
276,127
282,128
287,131
293,131
299,129
305,127
310,129
316,131
322,128
327,130
333,125
339,130
344,130
350,132
356,124
361,129
367,130
373,130
378,134
384,126
390,126
395,128
401,132
407,127
412,128
418,132
424,132
429,131
435,129
441,128
446,130
452,132
458,130
464,126
469,131
475,129
481,130
486,129
492,131
498,128
503,134
509,128
515,127
520,129
526,135
532,131
537,135
543,131
549,131
554,132
560,130
566,131
571,130
577,128
583,133
588,127
594,132
600,128
605,131
611,131
617,128
622,128
628,130
634,136
639,127
645,131
651,129
657,128
662,135
668,131
674,129
679,129
685,134
691,130
696,130
702,129
708,129
713,135
719,129
725,130
730,127
736,134
742,132
747,126
753,132
759,131
764,129
770,131
776,129
781,128
787,127
793,135
798,129
804,132
810,128
816,133
821,126
827,130
833,127
838,127
844,132
850,128
855,128
861,129
867,130
872,132
878,130
884,129
889,126
895,132
901,130
906,127
912,128
918,128
923,131
929,127
935,130
940,127
946,130
952,135
957,127
963,128
969,126
975,129
980,125
986,128
992,130
997,128
1003,134
1009,127
1014,127
1020,128
1026,132
1032,126
1037,128
1043,128
1049,124
1054,128
1060,130
1066,125
1072,126
1077,127
1083,128
1089,126
1095,129
1100,128
1106,128
1112,133
1117,140
1123,141
1129,140
1135,142
1140,136
1146,143
1152,145
1158,143
1163,135
1169,146
1175,141
1180,141
1186,141
1192,140
1198,136
1203,144
1209,138
1215,137
1221,136
1226,138
1232,137
1238,139
1243,141
1249,136
1255,138
1261,143
1266,140
1272,138
1278,141
1284,136
1289,130
1295,132
1301,134
1307,131
1312,131
1318,127
1324,132
1329,131
1335,129
1341,130
1347,126
1352,138
1358,135
1364,137
1370,139
1375,135
1381,138
1387,146
1393,145
1398,143
1404,146
1410,145
1415,145
1421,152
1427,148
1433,147
1438,144
1444,150
1450,149
1456,150
1461,148
1467,148
1473,148
1478,152
1484,158
1490,150
1496,152
1501,149
1507,154
1513,154
1519,155
1524,150
1530,152
1536,157
1542,158
1547,150
1553,159
1559,154
1564,155
1570,162
1576,157
1582,160
1587,159
1593,160
1599,162
1605,167
1610,168
1616,164
1622,161
1627,171
1633,168
1639,171
1645,174
1650,172
1656,173
1662,183
1668,177
1673,175
1679,177
1685,178
1690,186
1696,187
1702,184
1708,183
1713,185
1719,198
1725,201
1731,195
1736,203
1742,199
1748,211
1753,214
1759,216
1765,218
1771,218
1776,225
1782,225
1788,229
1794,229
1799,223
1805,228
1811,236
1816,230
1822,226
1828,226
1834,217
1839,222
1845,225
1851,224
1857,220
1862,220
1868,229
1874,238
1880,235
1885,242
1891,241
1897,249
1902,267
1908,264
1914,267
1920,265
1925,273
1931,293
1937,302
1943,298
1948,294
1954,293
1960,314
1965,323
1971,316
1977,312
1983,297
1988,318
1994,344
2000,337
2006,329
2011,313
2017,334
2023,360
2029,371
2034,359
2040,340
2046,350
2051,383
2057,399
2063,388
2069,362
2074,364
2080,392
2086,417
2092,403
2097,371
2103,365
2109,390
2114,430
2120,423
2126,392
2132,373
2137,401
2143,437
2149,441
2155,409
2160,378
2166,406
2172,441
2177,460
2183,434
2189,378
2195,411
2200,442
2206,477
2212,446
2218,391
2223,408
2229,440
2235,488
2240,459
2246,408
2252,409
2258,441
2263,481
2269,475
2275,435
2281,408
2286,439
2292,480
2298,492
2304,459
2309,408
2315,436
2321,470
2326,496
2332,463
2338,407
2344,413
2349,438
2355,469
2361,443
2367,402
2372,383
2378,411
2384,446
2390,439
2395,415
2401,378
2407,408
2412,448
2418,460
2424,442
2430,402
2435,424
2441,460
2447,483
2453,465
2458,439
2464,431
2470,469
2476,505
2481,490
2487,472
2493,443
2498,476
2504,524
2510,514
2516,495
2521,468
2527,483
2533,530
2539,523
2544,512
2550,489
2556,487
2561,537
2567,543
2573,537
2579,521
2584,505
2590,554
2596,569
2602,563
2607,550
2613,525
2619,563
2624,586
2630,577
2636,569
2642,543
2647,556
2653,582
2659,576
2665,563
2670,550
2676,544
2682,583
2687,577
2693,574
2699,560
2705,548
2710,593
2716,592
2722,588
2728,581
2733,560
2739,604
2745,607
2750,599
2756,592
2762,573
2768,597
2773,614
2779,609
2785,603
2791,589
2796,593
2802,627
2808,627
2814,621
2819,614
2825,597
2831,648
2836,649
2842,643
2848,631
2854,600
2859,649
2865,660
2871,652
2877,634
2882,603
2888,612
2894,638
2900,624
2905,599
2911,572
2917,564
2922,611
2928,604
2934,589
2940,564
2945,545
2951,590
2957,601
2963,585
2968,561
2974,525
2980,567
2986,609
2991,600
2997,579
3003,526
