Time,Bits
3869,370
3875,371
3880,373
3886,373
3892,369
3898,369
3903,370
3909,372
3915,373
3921,370
3926,367
3932,369
3938,370
3944,372
3949,372
3955,369
3961,368
3967,369
3972,370
3978,372
3984,369
3990,366
3996,366
4001,367
4007,369
4013,369
4018,366
4024,365
4030,366
4036,368
4041,370
4047,368
4053,364
4059,365
4064,366
4070,368
4076,367
4082,365
4087,363
4093,364
4099,365
4105,368
4110,365
4116,362
4122,363
4128,364
4133,366
4139,366
4145,363
4151,362
4156,363
4162,365
4168,367
4174,364
4179,361
4185,363
4191,364
4197,366
4202,365
4208,362
4214,362
4220,363
4225,364
4231,366
4237,364
4243,361
4248,362
4254,363
4260,365
4266,365
4271,362
4277,361
4283,363
4289,364
4294,366
4300,363
4306,360
4312,362
4317,363
4323,366
4329,365
4335,362
4340,361
4346,362
4352,365
4358,366
4363,364
4369,360
4375,361
4381,363
4386,366
4392,366
4398,363
4404,362
4409,363
4415,365
4421,367
4427,365
4432,361
4438,362
4444,363
4450,365
4455,366
4461,364
4467,362
4473,363
4478,365
4484,368
4490,366
4496,364
4501,364
4507,366
4513,368
4519,369
4524,366
4530,364
4536,366
4542,367
4547,370
4553,369
4559,366
4565,366
4570,367
4576,369
4582,370
4588,368
4593,367
4599,368
4605,369
4611,372
4616,370
4622,367
4628,368
4634,369
4639,371
4645,372
4651,369
4657,368
4662,369
4668,371
4674,373
4680,371
4685,368
4691,369
4697,371
4703,372
4708,373
4714,370
4720,369
4726,370
4731,372
4737,374
4743,372
4749,369
4754,370
4760,371
4766,373
4772,374
4777,371
4783,370
4789,371
4795,373
4800,375
4806,372
4812,369
4818,369
4823,371
4829,373
4835,373
4841,370
4846,369
4852,370
4858,371
4864,374
4869,372
4875,369
4881,369
4887,370
4892,372
4898,372
4904,370
4910,367
4915,368
4921,370
4927,373
4933,371
4938,368
4944,367
4950,368
4956,370
4961,371
4967,369
4973,366
4979,367
4984,369
4990,371
4996,370
5002,367
5007,366
5013,367
5019,369
5025,370
5030,367
5036,365
5042,366
5048,367
5053,369
5059,368
5065,365
5071,364
5076,365
5082,367
5088,368
5094,366
5099,363
5105,364
5111,365
5117,367
5122,366
5128,363
5134,363
5140,364
5145,366
5151,367
5157,364
5163,362
5168,363
5174,364
5180,367
5186,365
5191,363
5197,362
5203,363
5209,365
5214,365
5220,363
5226,361
5232,362
5237,363
5243,365
5249,364
5255,361
5260,361
5266,362
5272,364
5278,365
5283,363
5289,361
5295,362
5301,364
5306,366
5312,365
5318,362
5324,361
5329,363
5335,365
5341,366
5347,363
5352,360
5358,362
5364,363
5370,366
5375,365
5381,363
5387,362
5393,363
5398,365
5404,368
5410,365
5416,362
5421,363
5427,364
5433,367
5439,367
5444,364
5450,363
5456,364
5462,366
5467,368
5473,366
5479,362
5485,363
5490,365
5496,367
5502,368
5508,365
5513,364
5519,365
5525,367
5531,370
5536,368
5542,365
5548,366
5554,367
5559,369
5565,370
5571,368
5577,366
5582,367
5588,369
5594,372
5600,370
5605,367
5611,368
5617,369
5623,371
5628,372
5634,369
5640,368
5646,369
5651,371
5657,373
5663,372
5669,369
5674,369
5680,371
5686,373
5692,373
5697,371
5703,369
5709,370
5715,372
5720,374
5726,372
5732,369
5738,370
5743,371
5749,373
5755,373
5761,371
5766,370
5772,371
5778,372
5784,374
5789,371
5795,368
5801,370
5807,371
5812,373
5818,373
5824,370
5830,369
5835,371
5841,372
5847,375
5853,373
5858,369
5864,370
5870,371
5876,373
5881,373
5887,371
5893,369
5899,370
5904,371
5910,374
5916,372
5922,368
5927,368
5933,370
5939,371
5945,372
5950,369
5956,367
5962,368
5968,369
5973,372
5979,370
5985,366
5991,366
5996,368
6002,369
6008,370
6014,367
6019,365
6025,366
6031,368
6037,370
6042,368
6048,365
6054,365
6060,366
6065,368
6071,369
6077,366
6083,364
6088,365
6094,366
6100,368
6106,366
6111,363
6117,363
6123,364
6129,366
6134,366
6140,364
6146,361
6152,363
6157,364
6163,366
6169,364
6175,361
6180,361
6186,362
6192,364
6198,364
6203,362
6209,360
6215,361
6221,363
6226,366
6232,363
6238,361
6244,361
6249,362
6255,364
6261,364
6267,362
6272,360
6278,361
6284,363
6290,366
6295,364
6301,361
6307,361
6313,362
6318,365
6324,366
6330,363
6336,360
6341,362
6347,363
6353,366
6359,364
6364,361
6370,361
6376,362
6382,364
6387,366
6393,363
6399,360
6405,362
6410,363
6416,366
6422,366
6428,363
6433,362
6439,363
6445,365
6451,368
6456,365
6462,363
6468,364
6474,365
6479,368
6485,368
6491,365
6497,364
6503,365
6508,367
6514,370
6520,367
6526,364
6531,365
6537,366
6543,368
6548,369
6554,367
6560,365
6566,366
6571,368
6577,371
6583,369
6589,366
6594,367
6600,369
6606,370
6612,371
6617,369
6623,368
6629,369
6635,371
6640,373
6646,371
6652,368
6658,369
6663,370
6669,372
6675,373
6681,370
6686,369
6692,370
6698,371
6704,374
6709,371
6715,369
6721,370
6727,371
6732,373
6738,373
6744,371
6750,370
6755,371
6761,372
6767,375
6773,372
6778,368
6784,369
6790,371
6796,373
6801,373
6807,370
6813,369
6819,370
6824,372
6830,374
6836,373
6842,369
6847,369
6853,371
6859,373
6865,374
6870,371
6876,369
6882,370
6888,371
6894,374
6899,373
6905,369
6911,369
6917,370
6922,371
6928,373
6934,370
6940,367
6945,368
6951,369
6957,371
6963,370
6968,367
6974,367
6980,368
6986,369
6991,371
6997,368
7003,365
7009,366
7014,367
7020,370
7026,369
7032,366
7037,365
7043,366
7049,368
7055,370
7060,367
7066,364
7072,365
7078,366
7083,368
7089,367
7095,365
7101,364
7106,365
7112,366
7118,368
7124,365
7129,362
7135,363
7141,365
7146,367
7152,366
7158,363
7164,362
7169,363
7175,365
7181,366
7187,364
7192,361
7198,362
7204,364
7210,366
7215,364
7221,362
7227,361
7233,363
7238,364
7244,366
7250,363
7256,360
7261,362
7267,364
7273,366
7279,365
7284,362
7290,361
7296,363
7302,365
7308,366
7313,363
7319,360
7325,360
7331,362
7336,365
7342,365
7348,362
7354,360
7359,362
7365,364
7371,366
7377,363
7382,360
7388,361
7394,362
7400,365
7405,365
7411,363
7417,361
7423,362
7428,364
7434,367
7440,365
7446,363
7451,363
7457,365
7463,367
7469,368
7474,365
7480,363
7486,364
7492,366
7497,369
7503,368
7509,365
7515,364
7520,366
7526,368
7532,370
7538,367
7543,364
7549,366
7555,367
7561,370
7566,369
7572,366
7578,366
7584,367
7589,369
7595,371
7601,369
7607,367
7612,368
7618,370
7624,372
7630,371
7635,369
7641,369
7647,370
7653,372
7658,373
7664,371
7670,369
7676,370
7681,371
7687,373
7693,372
7699,369
7704,370
7710,371
7716,372
7721,373
7727,371
7733,369
7739,370
7744,371
7750,374
7756,372
7762,369
7768,369
7773,370
7779,372
7785,373
7791,370
7796,368
7802,369
7808,371
7814,373
7819,372
7825,368
7831,368
7837,369
7842,371
7848,372
7854,369
7860,367
7865,368
7871,369
7877,371
7883,370
7888,367
7894,366
7900,367
7906,369
7911,371
7917,367
