Time,Bits
3862,527
3868,526
3874,522
3880,517
3885,513
3891,516
3897,521
3903,516
3908,510
3914,503
3920,502
3926,507
3931,502
3937,497
3943,490
3949,484
3954,486
3960,489
3966,483
3972,476
3977,469
3983,466
3989,472
3995,466
4000,459
4006,451
4012,442
4018,443
4023,444
4029,437
4035,429
4041,419
4046,413
4052,418
4058,412
4064,405
4069,396
4075,386
4081,385
4086,379
4092,372
4098,365
4104,356
4109,348
4115,349
4121,343
4127,336
4132,327
4138,317
4144,319
4150,313
4155,307
4161,299
4167,291
4173,282
4178,282
4184,276
4190,269
4196,262
4201,254
4207,254
4213,249
4219,243
4224,238
4230,233
4236,227
4242,223
4247,220
4253,217
4259,214
4265,210
4270,211
4276,210
4282,209
4288,208
4293,207
4299,210
4305,210
4311,211
4316,212
4322,214
4328,217
4334,224
4339,226
4345,229
4351,232
4357,236
4362,244
4368,253
4374,257
4380,262
4385,265
4391,270
4397,282
4403,286
4408,291
4414,295
4420,301
4426,308
4431,320
4437,324
4443,328
4449,333
4454,338
4460,354
4466,360
4472,364
4477,367
4483,371
4489,378
4495,392
4500,395
4506,398
4512,401
4518,403
4523,418
4529,426
4535,429
4541,431
4546,433
4552,439
4558,452
4564,454
4569,456
4575,458
4581,458
4587,469
4592,475
4598,476
4604,477
4610,477
4615,483
4621,494
4627,495
4633,495
4638,494
4644,495
4650,504
4656,510
4661,509
4667,508
4673,506
4679,512
4684,521
4690,520
4696,519
4702,517
4707,518
4713,524
4719,529
4725,527
4730,525
4736,523
4742,527
4748,535
4753,533
4759,530
4765,527
4771,528
4776,534
4782,537
4788,533
4794,529
4799,526
4805,530
4811,538
4817,534
4822,530
4828,524
4834,524
4840,529
4845,531
4851,527
4857,522
4863,518
4868,520
4874,526
4880,522
4886,517
4891,511
4897,509
4903,513
4909,513
4914,508
4920,501
4926,495
4932,496
4937,501
4943,496
4949,489
4955,482
4960,478
4966,482
4972,480
4978,473
4983,466
4989,457
4995,456
5001,460
5006,454
5012,447
5018,438
5024,430
5029,435
5035,431
5041,424
5047,416
5052,407
5058,403
5064,404
5070,398
5075,390
5081,382
5087,371
5092,376
5098,370
5104,363
5110,356
5115,347
5121,342
5127,339
5133,332
5138,325
5144,317
5150,306
5156,306
5161,300
5167,293
5173,285
5179,275
5184,271
5190,266
5196,260
5202,253
5207,246
5213,239
5219,238
5225,234
5230,229
5236,225
5242,220
5248,220
5253,218
5259,216
5265,214
5271,212
5276,209
5282,211
5288,211
5294,211
5299,210
5305,210
5311,214
5317,214
5322,215
5328,216
5334,219
5340,222
5345,230
5351,233
5357,236
5363,239
5368,244
5374,253
5380,257
5386,261
5391,265
5397,270
5403,275
5409,289
5414,294
5420,299
5426,304
5432,310
5437,324
5443,331
5449,336
5455,340
5460,345
5466,349
5472,364
5478,368
5483,372
5489,376
5495,379
5501,393
5506,403
5512,405
5518,408
5524,410
5529,414
5535,429
5541,431
5547,433
5552,435
5558,436
5564,447
5570,456
5575,458
5581,460
5587,461
5593,466
5598,479
5604,480
5610,482
5616,482
5621,483
5627,491
5633,498
5639,498
5644,498
5650,497
5656,502
5662,513
5667,513
5673,513
5679,511
5684,511
5690,517
5696,523
5702,522
5707,520
5713,517
5719,521
5725,529
5730,528
5736,525
5742,523
5748,525
5753,530
5759,533
5765,530
5771,527
5776,525
5782,528
5788,536
5794,534
5799,530
5805,525
5811,527
5817,532
5822,534
5828,531
5834,526
5840,522
5845,525
5851,530
5857,525
5863,520
5868,514
5874,513
5880,517
5886,517
5891,513
5897,507
5903,502
5909,505
5914,510
5920,505
5926,500
5932,493
5937,491
5943,495
5949,492
5955,487
5960,480
5966,473
5972,474
5978,477
5983,471
5989,465
5995,457
6001,451
6006,456
6012,450
