Time,Bits_5
5,33
10,66
16,98
22,135
27,171
33,205
39,238
44,273
50,310
55,344
61,341
67,342
72,347
78,344
84,338
89,337
95,341
101,340
106,334
112,331
118,333
123,334
129,331
135,325
140,326
146,327
152,325
157,321
163,320
169,320
174,320
180,318
186,314
191,314
197,315
203,315
209,312
214,308
220,309
226,310
231,309
237,306
243,305
248,306
254,307
260,306
265,303
271,304
277,305
283,307
288,305
294,303
300,304
305,305
311,306
317,305
322,304
328,305
334,307
339,307
345,307
351,307
357,309
362,311
368,311
374,311
379,313
385,315
391,317
396,318
402,318
408,321
414,323
419,326
425,327
431,328
436,330
442,333
448,335
453,336
459,336
465,339
470,342
476,343
482,343
488,344
493,347
499,350
505,351
510,352
516,353
522,356
527,359
533,360
539,361
545,362
550,366
556,367
562,368
567,369
573,371
579,375
584,376
590,376
596,377
601,381
607,384
613,384
618,385
624,386
630,389
636,390
641,391
647,391
653,392
658,395
664,395
670,395
675,396
681,396
687,398
692,399
698,399
704,399
710,400
715,402
721,402
727,402
732,402
738,404
744,404
749,404
755,404
761,404
766,405
772,405
778,405
784,405
789,404
795,405
801,405
806,405
812,404
818,404
823,404
829,404
835,404
841,403
846,402
852,402
858,402
863,401
869,400
875,399
880,399
886,398
892,397
898,395
903,396
909,395
915,393
920,392
926,389
932,389
937,388
943,387
949,385
955,382
960,382
966,380
972,379
977,376
983,375
989,374
994,373
1000,371
1006,368
1012,367
1017,364
1023,363
1029,362
1035,361
1040,358
1046,354
1052,352
1058,352
1063,352
1069,351
1075,347
1081,343
1086,343
1092,343
1098,343
1104,340
1109,335
1115,333
1121,333
1127,333
1132,331
1138,327
1144,322
1149,323
1155,323
1161,323
1167,320
1172,316
1178,314
1184,315
1190,317
1195,314
1201,311
1207,308
1213,308
1218,310
1224,309
1230,306
1236,303
1241,303
1247,305
1253,307
1259,305
1264,302
1270,300
1276,302
1282,306
1287,304
1293,302
1299,300
1305,301
1310,304
1316,306
1322,305
1328,303
1333,301
1339,305
1345,309
1351,310
1356,309
1362,307
1368,308
1374,312
1379,316
1385,315
1391,314
1397,313
1402,317
1408,322
1414,323
1420,322
1425,321
1431,325
1437,328
1443,333
1448,332
1454,332
1460,332
1466,336
1471,340
1477,343
1483,342
1489,340
1494,343
1500,347
1506,352
1512,352
1517,351
1523,353
1529,356
1535,360
1540,363
1546,362
1552,362
1558,364
1563,367
1569,372
1575,372
1581,371
1586,373
1592,375
1598,378
1603,381
1609,380
1615,381
1621,382
1626,385
1632,388
1638,388
1644,387
1649,388
1655,390
1661,392
1667,394
1672,392
1678,394
1684,395
1690,397
1695,399
1701,398
1707,398
1713,399
1718,400
1724,402
1730,403
1736,401
1741,401
1747,402
1753,403
1759,404
1764,402
1770,402
1776,403
1782,403
1787,404
1793,404
1799,402
1805,402
1810,403
1816,403
1822,404
1828,401
1833,400
1839,400
1845,401
1851,401
1856,400
1862,397
1868,397
1874,397
1879,398
1885,398
1891,394
1897,392
1902,392
1908,392
1914,392
1920,390
1925,386
1931,385
1937,385
1943,385
1948,385
1954,381
1960,379
1966,378
1971,378
1977,378
1983,375
1989,370
1994,369
2000,369
2006,369
2012,368
2017,363
2023,360
2029,360
2035,360
2040,360
2046,356
2052,351
2058,349
2063,349
2069,349
2075,347
2080,343
2086,339
2092,339
2098,339
2103,339
2109,335
2115,331
2121,329
2126,330
2132,331
2138,327
2144,323
2149,319
2155,320
2161,321
2167,320
2172,317
2178,312
2184,311
2190,312
2195,314
2201,311
2207,308
2213,305
2218,306
2224,308
2230,306
2236,304
2241,301
2247,302
2253,303
2259,305
2264,303
2270,301
2276,299
2282,301
2287,305
2293,303
2299,301
2305,298
2310,300
2316,303
2322,305
2328,303
2333,302
2339,300
2345,303
2351,308
2356,309
2362,308
2368,306
2374,308
2379,312
2385,316
2391,315
2397,314
2402,314
2408,317
2414,322
2420,324
2425,323
2431,322
2437,325
2443,329
2448,334
2454,333
2460,333
2466,333
2471,336
2477,341
2483,343
2489,343
2494,341
2500,344
2506,348
2512,353
2517,354
2523,352
2529,354
2535,357
2540,361
2546,364
2552,363
2558,362
2563,365
2569,368
2575,372
2581,373
2586,371
2592,373
2598,376
2603,378
2609,381
2615,380
2621,381
2626,382
2632,385
2638,388
2644,388
2649,387
2655,388
2661,390
2667,392
2672,395
2678,393
2684,394
2690,395
2695,397
2701,399
2707,398
2713,398
2718,399
2724,400
2730,401
2736,402
2741,400
2747,401
2753,401
2759,402
2764,404
2770,402
2776,401
2782,402
2787,402
2793,403
2799,403
2805,400
2810,401
2816,401
2822,402
2828,403
2833,400
2839,399
2845,399
2851,399
2856,400
2862,400
2868,396
2874,396
2879,396
2885,396
2891,396
2897,393
2902,391
2908,390
2914,390
2920,390
2925,389
2931,384
2937,384
2943,383
2948,383
2954,383
2960,379
2966,376
2971,376
2977,376
2983,376
2989,373
2994,368
3000,366
3006,366
3012,366
3017,366
3023,362
3029,357
3035,357
3040,357
3046,357
3052,354
3058,349
3063,346
3069,346
3075,346
3081,345
3086,341
3092,336
3098,336
3104,336
3109,337
3115,333
3121,329
3126,327
3132,327
3138,328
3144,325
3149,322
3155,317
3161,317
3167,318
3172,318
3178,315
3184,312
3190,309
3195,310
3201,312
3207,309
3213,307
3218,303
3224,304
3230,306
3236,306
3241,303
3247,301
3253,299
3259,301
3264,304
3270,302
3276,300
3282,297
3287,299
3293,302
3299,303
3305,301
3310,298
3316,298
3322,301
3328,304
3333,303
3339,301
3345,298
3351,301
3356,305
3362,307
3368,305
3374,303
3379,304
3385,307
3391,312
3397,311
3402,310
3408,308
3414,311
3420,316
3425,318
3431,318
3437,317
3443,319
3448,322
3454,328
3460,329
3466,329
3471,328
3477,332
3483,336
3489,340
3494,339
3500,338
3506,341
3512,345
3517,350
3523,352
3529,351
3535,351
3540,354
3546,358
3552,363
3558,362
3563,361
3569,364
3575,366
3581,370
3586,372
3592,371
3598,373
3604,375
3609,378
3615,382
3621,381
3627,381
3632,382
3638,384
3644,387
3649,389
3655,387
3661,388
3667,390
3672,392
3678,395
3684,393
3690,393
3695,395
3701,396
3707,398
3713,399
3718,397
3724,398
3730,399
3736,400
3741,402
3747,400
3753,400
3759,401
3764,402
3770,403
3776,402
3782,401
3787,401
3793,402
3799,403
3805,404
3810,400
3816,400
3822,400
3828,401
3833,402
3839,400
3845,398
3851,398
3856,398
3862,398
3868,399
3874,395
3879,394
3885,394
3891,394
3897,394
3902,392
3908,389
3914,389
3920,389
3925,389
3931,388
3937,384
3943,382
3948,382
3954,382
3960,382
3966,379
3971,374
