Time,Bits_1
3862,400
3868,400
3874,396
3879,395
3885,395
3891,395
3897,395
3902,393
3908,389
3914,389
3920,389
3925,389
3931,389
3937,384
3943,382
3948,381
3954,381
3960,381
3966,379
3971,374
3977,373
3983,373
3989,373
3995,374
4000,369
4006,365
4012,365
4018,365
4023,366
4029,363
4035,357
4040,355
4046,355
4052,354
4058,354
4063,350
4069,345
4075,345
4081,345
4086,345
4092,341
4098,337
4104,334
4109,334
4115,334
4121,332
4127,329
4132,324
4138,324
4144,325
4150,326
4155,322
4161,318
4167,316
4173,316
4178,318
4184,315
4190,312
4196,307
4201,308
4207,309
4213,309
4219,307
4224,304
4230,302
4236,303
4242,306
4247,304
4253,302
4259,299
4265,300
4270,303
4276,304
4282,302
4288,299
4293,299
4299,302
4305,305
4311,303
4316,301
4322,299
4328,301
4334,305
4339,307
4345,306
4351,304
4357,304
4362,308
4368,313
4374,312
4380,311
4385,309
4391,313
4397,317
4403,320
4408,319
4414,318
4420,319
4426,322
4431,328
4437,329
4443,328
4449,327
4454,330
4460,334
4466,338
4472,338
4477,337
4483,338
4489,342
4495,347
4500,349
4506,348
4512,348
4518,350
4523,354
4529,359
4535,359
4541,358
4546,360
4552,363
4558,367
4564,370
4569,369
4575,369
4581,371
4587,374
4592,378
4598,378
4604,376
4610,378
4615,380
4621,383
4627,386
4633,384
4638,385
4644,387
4650,389
4655,392
4661,392
4667,391
4673,392
4679,394
4684,396
4690,398
4696,395
4701,397
4707,398
4713,399
4719,401
4724,401
4730,400
4736,401
4742,402
4747,403
4753,404
4759,401
4765,402
4770,402
4776,403
4782,405
4788,403
4793,402
4799,402
4805,403
4811,404
4816,404
4822,401
4828,401
4834,401
4839,402
4845,403
4851,400
4857,398
4862,398
4868,398
4874,399
4880,399
4885,394
4891,394
4897,394
4903,393
4908,394
4914,391
4920,387
4926,387
4931,387
4937,387
4943,386
4949,382
4954,380
4960,380
4966,380
4972,380
4977,376
4983,372
4989,372
4995,372
5000,371
5006,370
5012,365
5018,362
5023,362
5029,361
5035,362
5041,358
5046,352
5052,351
5058,351
5064,351
5069,349
5075,345
5081,341
5087,341
5092,341
5098,341
5104,338
5110,333
5115,331
5121,332
5127,333
5133,329
5138,325
5144,321
5150,322
5156,323
5161,322
5167,318
5173,314
5179,313
5184,313
5190,316
5196,313
5202,310
5207,306
5213,307
5219,309
5225,308
5230,306
5236,303
5242,302
5248,304
5253,306
5259,304
5265,301
5271,299
5276,301
5282,305
5288,304
5294,302
5299,300
5305,300
5311,303
5317,306
5322,304
5328,302
5334,300
5340,303
5345,308
5351,308
5357,307
5363,306
5368,307
5374,311
5380,315
5386,314
5391,313
5397,313
5403,316
5409,321
5414,322
5420,322
5426,321
5432,323
5437,327
5443,332
5449,331
5455,330
5460,331
5466,334
5472,339
5478,341
5483,341
5489,340
5495,343
5501,346
5506,352
5512,353
5518,351
5524,352
5529,355
5535,360
5541,363
5547,362
5552,361
5558,363
5564,366
5570,370
5575,371
5581,370
5587,372
5593,374
5598,377
5604,381
5610,380
5615,380
5621,381
5627,384
5633,387
5638,388
5644,386
5650,387
5656,389
5661,391
5667,394
5673,392
5679,393
5684,394
5690,395
