Time,Bits_0
3862,394
3868,394
3874,392
3880,390
3885,390
3891,389
3897,390
3903,389
3908,385
3914,384
3920,384
3926,383
3931,383
3937,380
3943,377
3949,377
3954,376
3960,376
3966,375
3972,371
3977,369
3983,368
3989,368
3995,369
4000,364
4006,360
4012,359
4018,359
4023,359
4029,357
4035,352
4041,349
4046,349
4052,349
4058,350
4064,346
4069,341
4075,340
4081,339
4086,340
4092,336
4098,332
4104,329
4109,329
4115,329
4121,328
4127,324
4132,320
4138,319
4144,320
4150,321
4155,318
4161,314
4167,311
4173,312
4178,314
4184,312
4190,308
4196,305
4201,304
4207,305
4213,306
4219,303
4224,301
4230,298
4236,300
4242,302
4247,300
4253,298
4259,295
4265,296
4270,298
4276,300
4282,298
4288,295
4293,294
4299,297
4305,301
4311,300
4316,298
4322,295
4328,297
4334,301
4339,303
4345,302
4351,300
4357,300
4362,303
4368,308
4374,309
4380,308
4385,306
4391,308
4397,312
4403,316
4408,315
4414,314
4420,314
4426,318
4431,322
4437,324
4443,324
4449,323
4454,326
4460,330
4466,335
4472,335
4477,334
4483,335
4489,338
4495,343
4500,345
4506,345
4512,343
4518,346
4523,349
4529,354
4535,355
4541,354
4546,355
4552,358
4558,361
4564,365
4569,364
4575,363
4581,365
4587,368
4592,371
4598,373
4604,372
4610,373
4615,375
4621,378
4627,381
4633,380
4638,380
4644,381
4650,383
4656,386
4661,387
4667,385
4673,386
4679,388
4684,390
4690,393
4696,391
4702,391
4707,393
4713,394
4719,396
4725,396
4730,394
4736,395
4742,396
4748,397
4753,399
4759,396
4765,396
4771,397
4776,398
4782,399
4788,398
4794,396
4799,396
4805,397
4811,398
4817,399
4822,395
4828,395
4834,395
4840,395
4845,396
4851,395
4857,392
4863,392
4868,392
4874,393
4880,394
4886,389
4891,388
4897,387
4903,387
4909,388
4914,386
4920,382
4926,381
4932,381
4937,381
4943,382
4949,377
4955,375
4960,374
4966,374
4972,374
4978,372
4983,367
4989,365
4995,365
5001,365
5006,365
5012,360
5018,356
5024,356
5029,356
5035,356
5041,353
5047,349
5052,346
5058,346
5064,345
5070,345
5075,341
5081,336
5087,336
5093,336
5098,336
5104,332
5110,328
5116,325
5121,326
5127,326
5133,325
5139,321
5144,316
5150,316
5156,317
5161,317
5167,314
5173,310
5179,308
5184,308
5190,310
5196,308
5202,305
5207,301
5213,301
5219,303
5225,303
5230,301
5236,298
5242,296
5248,297
5253,300
5259,298
5265,296
5271,293
5276,295
5282,297
5288,298
5294,297
5299,294
5305,293
5311,296
5317,300
5322,299
5328,297
5334,295
5340,297
5345,301
5351,303
5357,302
5363,301
5368,301
5374,304
5380,310
5386,310
5391,309
5397,307
5403,311
5409,315
5414,318
5420,317
5426,316
5432,317
5437,321
5443,326
5449,327
5455,327
5460,325
5466,329
5472,332
5478,337
5483,336
5489,335
5495,337
5501,340
5506,345
5512,347
5518,346
5524,346
5529,348
5535,352
5541,357
5547,357
5552,356
5558,359
5564,361
5570,364
5575,367
5581,367
5587,367
5593,369
5598,372
5604,375
5610,375
5616,374
5621,376
5627,378
5633,380
5639,383
5644,381
5650,382
5656,384
5662,386
5667,389
5673,389
5679,388
5685,389
5690,390
5696,392
5702,394
5708,391
5713,392
5719,393
5725,395
5731,397
5736,395
5742,395
5748,396
5754,396
5759,398
5765,398
5771,396
5777,396
5782,397
5788,397
5794,399
5800,396
5805,395
5811,396
5817,396
5823,397
5828,397
5834,394
5840,394
5846,394
5851,395
5857,395
5863,392
5869,390
5874,391
5880,391
5886,391
5892,390
5897,386
5903,385
5909,385
5915,385
5920,385
5926,381
5932,379
5938,378
5943,378
5949,378
5955,377
5961,372
5966,371
5972,370
5978,370
5984,371
5989,366
5995,362
6001,361
6007,361
6012,361
6018,359
6024,355
6030,352
6035,351
6041,352
6047,352
6053,348
6058,343
6064,342
6070,341
6076,341
6081,339
6087,335
6093,331
6099,331
6104,331
6110,331
6116,327
6121,323
6127,321
6133,322
6139,323
6144,320
6150,316
6156,312
6162,313
6167,314
6173,313
6179,310
6185,306
6190,305
6196,306
6202,308
6208,305
6213,302
6219,298
6225,300
6231,302
6236,301
6242,298
6248,295
6254,295
6259,297
6265,299
6271,297
6277,295
6282,293
6288,295
6294,299
6300,299
6305,297
6311,294
6317,295
6323,298
6328,301
6334,299
6340,298
6346,296
6351,299
6357,304
6363,306
6369,305
6374,303
6380,304
6386,308
6392,313
6397,312
6403,311
6409,310
6415,313
6420,317
6426,320
6432,320
6438,318
6443,320
6449,324
6455,329
6461,330
6466,329
6472,329
6478,332
6484,336
6489,340
6495,339
6501,338
6507,340
6513,343
6518,348
6524,350
6530,349
6536,349
6541,352
6547,356
6553,360
6558,360
6564,359
6570,361
6576,364
6581,367
6587,370
6593,369
6599,370
6604,372
6610,374
6616,378
6622,378
6627,377
6633,378
6639,380
6645,383
6650,384
6656,383
6662,384
6668,386
6673,387
6679,390
6685,389
6691,389
6696,390
6702,391
6708,393
6714,394
6719,392
6725,393
6731,394
6737,395
6742,397
6748,395
6754,395
6760,396
6765,397
6771,398
6777,398
6783,395
6788,396
6794,396
6800,397
6806,398
6811,395
6817,394
6823,395
6829,395
6834,396
6840,395
6846,392
6852,392
6857,393
6863,393
6869,394
6875,390
6880,388
6886,388
6892,388
6898,389
6903,388
6909,383
6915,383
6921,383
6926,382
6932,383
6938,379
6944,376
6949,375
6955,375
6961,375
6967,373
6972,369
6978,367
6984,367
6990,366
6995,367
7001,362
7007,358
7013,358
7018,358
7024,358
7030,355
7036,350
7041,348
7047,348
7053,348
7059,347
7064,344
7070,339
7076,339
7082,338
7087,339
7093,335
7099,331
7105,329
7110,328
7116,329
7122,328
7128,324
7133,319
7139,319
7145,319
7151,320
7156,317
7162,313
7168,310
7173,311
7179,312
7185,309
7191,306
7196,302
7202,302
7208,304
7214,304
7219,302
7225,299
7231,297
7237,298
7242,300
7248,298
7254,296
7260,293
7265,294
7271,297
7277,298
7283,296
7288,294
7294,293
7300,296
7306,299
7311,298
7317,296
7323,293
7329,295
7334,299
7340,301
7346,300
7352,298
7357,298
7363,301
7369,307
7375,307
7380,306
7386,304
7392,307
7398,311
7403,314
7409,314
7415,313
7421,313
7426,316
7432,321
7438,323
7444,322
7449,321
7455,324
7461,328
7467,333
7472,332
7478,331
7484,333
7490,336
7495,340
7501,343
7507,342
7513,341
7518,344
7524,347
7530,353
7536,353
7541,352
7547,353
7553,356
7559,360
7564,363
7570,362
7576,362
7582,364
7587,367
7593,370
7599,371
7605,370
7610,372
7616,374
7622,377
7628,380
7633,378
7639,379
7645,381
7651,383
7656,385
7662,386
7668,384
7674,386
7679,387
7685,389
7691,391
7697,389
7702,390
7708,391
7714,393
7720,395
7725,394
7731,393
7737,394
7743,395
7748,396
7754,397
7760,394
7766,395
7771,396
7777,397
7783,398
7789,397
7794,395
7800,396
7806,396
7812,397
7817,398
7823,394
7829,394
7835,394
7840,395
7846,395
7852,393
7858,391
7863,391
7869,391
7875,391
7881,391
7886,387
7892,386
7898,385
7904,386
7909,386
7915,383
7921,380
7927,380
7932,380
7938,380
7944,380
7950,375
7955,373
7961,373
7967,373
7973,373
7978,370
7984,365
7990,363
7996,363
8001,363
8007,363
8013,358
8019,354
8024,354
8030,353
8036,354
8042,350
8047,345
8053,342
8059,341
8065,341
8070,339
8076,335
8082,330
8088,329
8093,328
8099,329
8105,324
8111,320
8116,317
8122,317
8128,317
8134,316
8139,312
8145,308
8151,308
8157,309
8162,311
8168,308
8174,305
8180,303
8185,305
8191,307
8197,305
8203,303
8208,300
8214,301
8220,303
8226,304
8231,302
8237,300
8243,299
8248,300
8254,304
8260,302
8266,300
8272,297
8277,298
8283,301
8289,302
8295,300
8300,298
8306,297
8312,300
8318,304
8323,302
8329,301
8335,299
8341,301
8346,305
8352,307
8358,306
8364,305
8369,305
8375,309
8381,314
8387,315
8392,314
8398,312
8404,314
8410,319
8415,322
8421,321
8427,320
8433,321
8438,324
8444,329
8450,331
8456,330
8461,330
8467,333
8473,337
8479,342
8484,341
8490,340
8496,341
8502,345
8507,349
8513,352
8519,351
8525,350
8530,352
8536,355
8542,360
8548,361
8553,360
8559,362
8565,365
8571,368
8576,371
8582,370
8588,370
8594,372
8599,375
8605,378
8611,379
8617,377
8622,379
8628,381
8634,383
8639,386
8645,384
8651,384
8657,385
8662,387
8668,389
8674,389
8680,388
8685,389
8691,390
8697,391
8703,394
8708,391
8714,391
8720,392
8726,393
8731,394
8737,394
8743,392
8749,392
8754,393
8760,394
8766,395
8772,391
8777,391
8783,392
8789,392
8795,393
8800,392
8806,390
8812,390
8818,391
8824,391
8829,393
8835,389
8841,388
8847,389
8852,389
8858,390
8864,389
8870,386
8875,387
8881,387
8887,387
8893,388
8898,384
8904,382
8910,382
8916,382
8921,383
8927,382
8933,377
8939,376
8944,376
8950,376
8956,376
8962,372
8967,369
8973,369
8979,368
8985,368
8990,367
8996,362
9002,359
9008,359
9013,360
9019,360
9025,356
9031,351
9036,350
9042,350
9048,350
9054,348
9059,343
9065,340
9071,340
9077,340
9082,340
9088,336
9094,332
9100,330
9105,330
9111,331
9117,327
9123,324
9128,320
9134,320
9140,320
9145,319
9151,316
9157,312
9163,311
9169,311
9174,313
9180,310
9186,307
9191,303
9197,304
9203,306
9209,305
9214,302
9220,299
9226,298
9232,299
9237,301
9243,299
9249,296
9255,294
9260,296
9266,299
9272,298
9278,296
9283,294
9289,294
9295,297
9301,299
9306,298
9312,296
9318,294
9324,296
9329,300
9335,301
9341,299
9347,298
9352,298
9358,302
9364,306
9370,305
9375,303
9381,302
9387,305
9393,310
9399,313
9404,312
9410,311
9416,312
9422,316
9427,321
9433,322
9439,321
9445,320
9450,323
9456,327
9462,331
9468,330
9473,329
9479,331
9485,335
9491,339
9496,341
9502,340
9508,340
9514,343
9519,347
9525,351
9531,351
9537,350
9542,352
9548,355
9554,359
9560,362
9565,361
9571,361
9577,364
9582,366
9588,370
9594,370
9600,369
9605,371
9611,373
9617,376
9623,378
9629,377
9634,378
9640,380
9646,382
9651,385
9657,385
9663,384
9669,385
9674,387
9680,389
9686,391
9692,388
9697,390
9703,391
9709,393
9715,395
9720,394
9726,393
9732,394
9738,395
9743,397
9749,398
9755,395
9761,396
9766,396
9772,397
9778,398
9784,397
