Time,Bits_20
10,66
16,98
22,135
27,171
33,205
39,238
44,273
50,310
55,344
61,342
67,343
72,347
78,345
84,339
89,338
95,342
101,341
106,335
112,331
118,334
123,335
129,331
135,326
140,327
146,327
152,325
157,322
163,320
169,320
174,321
180,318
186,314
191,315
197,315
203,316
209,313
214,310
220,310
226,311
231,310
237,307
243,306
248,307
254,308
260,306
265,304
271,305
277,306
283,308
288,306
294,304
300,305
305,306
311,307
317,306
322,305
328,306
334,308
339,308
345,308
351,308
357,310
362,312
368,312
374,312
379,314
385,316
391,319
396,319
402,320
408,322
414,324
419,327
425,328
431,328
436,331
442,333
448,335
453,336
459,336
465,339
470,342
476,343
482,343
488,344
493,347
499,351
505,351
510,353
516,353
522,356
527,359
533,360
539,361
545,363
550,367
556,368
562,368
567,369
573,372
579,376
584,376
590,377
596,378
601,381
607,384
613,384
618,385
624,386
630,389
636,390
641,390
647,391
653,391
658,394
664,395
670,395
675,395
681,395
687,398
692,398
698,399
704,399
710,400
715,402
721,402
727,402
732,402
738,404
744,404
749,404
755,404
761,403
766,405
772,405
778,405
784,404
789,404
795,405
801,405
806,405
812,404
818,403
823,404
829,403
835,403
841,402
846,401
852,401
858,401
863,400
869,398
875,399
880,398
886,397
892,396
898,394
903,394
909,393
915,392
920,390
926,388
932,388
937,386
943,385
949,383
954,381
960,381
966,379
972,378
977,375
983,374
989,374
994,373
1000,371
1006,368
1012,366
1017,364
1023,363
1029,362
1035,361
1040,358
1046,353
1052,352
1058,352
1063,352
1069,350
1075,346
1080,342
1086,342
1092,342
1098,342
1103,338
1109,334
1115,333
1121,333
1126,333
1132,330
1138,326
1144,323
1149,323
1155,323
1161,322
1167,318
1172,315
1178,314
1184,315
1190,316
1195,313
1201,310
1207,308
1213,309
1218,311
1224,308
1230,306
1236,303
1241,304
1247,306
1253,306
1259,304
1264,302
1270,301
1276,303
1282,306
1287,304
1293,302
1299,299
1305,301
1310,305
1316,306
1322,305
1328,303
1333,302
1339,306
1345,310
1351,310
1356,308
1362,306
1368,309
1374,313
1379,316
1385,315
1391,313
1397,314
1402,317
1408,322
1414,323
1420,323
1425,321
1431,324
1437,328
1443,332
1448,331
1454,331
1460,333
1466,336
1471,341
1477,342
1483,342
1489,341
1494,344
1500,348
1506,352
1512,352
1517,350
1523,353
1529,356
1535,360
1540,362
1546,361
1552,362
1557,364
1563,367
1569,372
1575,372
1580,370
1586,372
1592,375
1598,378
1603,380
1609,379
1615,380
1621,382
1626,384
1632,388
1638,387
1644,387
1649,388
1655,390
1661,392
1667,393
1672,392
1678,393
1684,394
1690,396
1695,399
1701,397
1707,397
1713,398
1718,399
1724,401
1730,401
1736,400
1741,400
1747,401
1753,402
1759,404
1764,400
1770,401
1776,401
1782,402
1787,403
1793,402
1799,400
1805,401
1810,402
1816,402
1822,404
1828,399
1833,399
1839,400
1845,400
1851,400
1856,398
1862,396
1868,396
1874,396
1879,396
1885,397
1891,393
1897,391
1902,391
1908,391
1914,392
1920,389
1925,386
1931,385
1937,385
1943,385
1948,384
1954,380
1960,378
1966,378
1971,377
1977,378
1983,373
1989,369
1994,368
2000,368
2006,368
2012,367
2017,362
2023,359
2029,359
2035,359
2040,359
2046,355
2052,350
2057,349
2063,349
2069,349
2075,347
2080,343
2086,339
2092,339
2098,339
2103,339
2109,335
2115,331
2121,329
2126,329
2132,330
2138,327
2144,323
2149,320
2155,320
2161,321
2167,320
2172,316
2178,313
2184,312
2190,313
2195,314
2201,312
2207,308
2213,305
2218,306
2224,308
2230,306
2236,304
2241,301
2247,301
2253,303
2259,305
2264,303
2270,300
2276,299
2282,301
2287,305
2293,303
2299,301
2305,298
2310,300
2316,303
2322,305
2328,304
2333,302
2339,301
2345,304
2351,309
2356,309
2362,308
2368,306
2374,308
2379,312
2385,315
2391,315
2397,314
2402,314
2408,317
2414,322
2420,324
2425,323
2431,322
2437,325
2443,329
2448,333
2454,333
2460,332
2466,333
2471,336
2477,340
2483,343
2489,342
2494,341
2500,344
2506,348
2512,353
2517,353
2523,352
2529,353
2535,356
2540,360
2546,363
2552,362
2558,362
2563,364
2569,367
2575,371
2581,372
2586,371
2592,373
2598,375
2603,378
2609,381
2615,380
2621,380
2626,382
2632,384
2638,387
2644,387
2649,386
2655,388
2661,389
2667,392
2672,394
2678,392
2684,393
2690,395
2695,396
2701,399
2707,398
2713,397
2718,398
2724,399
2730,401
2736,402
2741,399
2747,400
2753,400
2759,401
2764,403
2770,400
2776,400
2782,400
2787,401
2793,402
2799,402
2805,399
2810,400
2816,400
2822,401
2828,402
2833,399
2839,398
2845,398
2851,398
2856,399
2862,398
2868,394
2874,395
2879,395
2885,395
2891,395
2897,391
2902,389
2908,389
2914,389
2920,389
2925,387
2931,383
2937,383
2943,382
2948,382
2954,383
2960,378
2966,376
2971,375
2977,375
2983,375
2989,372
2994,367
3000,365
3006,365
3012,365
3017,365
3023,360
3029,356
3035,357
3040,357
3046,357
3052,353
3058,349
3063,346
3069,346
3075,346
3081,345
3086,341
3092,336
3098,336
3104,336
3109,337
3115,333
3121,329
3126,326
3132,326
3138,327
3144,325
3149,321
3155,317
3161,317
3167,318
3172,318
3178,315
3184,312
3190,310
3195,310
3201,312
3207,309
3213,306
3218,303
3224,304
3230,306
3236,306
3241,303
3247,300
3253,299
3259,301
3264,304
3270,302
3276,300
3282,297
3287,299
3293,303
3299,303
3305,301
3310,299
3316,299
3322,302
3328,306
3333,304
3339,303
3345,300
3351,303
3356,307
3362,309
3368,308
3374,306
3379,307
3385,311
3391,316
3397,315
3402,314
3408,313
3414,316
3420,321
3425,323
3431,323
3437,322
3443,324
3448,328
3454,333
3460,333
3466,333
3471,333
3477,335
3483,340
3489,343
3494,343
3500,341
3506,344
3512,347
3517,352
3523,354
3529,353
3535,353
3540,356
3546,359
3552,363
3558,363
3563,361
3569,364
3575,366
3581,369
3586,371
3592,370
3598,372
3604,374
3609,377
3615,380
3621,379
3627,379
3632,381
3638,383
3644,386
3649,387
3655,385
3661,386
3667,388
3672,390
3678,393
3684,391
3690,392
3695,393
3701,394
3707,396
3713,397
3718,395
3724,396
3730,397
3736,398
3741,400
3747,398
3753,398
3759,399
3764,400
3770,401
3776,400
3782,399
3787,399
3793,399
3799,400
3805,401
3810,398
3816,398
3822,398
3828,399
3833,400
3839,398
3845,396
3851,396
3856,396
3862,396
3868,397
3874,392
3879,391
3885,391
3891,391
3897,391
3902,389
3908,386
3914,386
3920,386
3925,386
3931,385
3937,381
3943,379
3948,379
3954,379
3960,379
3966,375
3971,371
3977,371
3983,371
3989,371
3994,370
4000,366
4006,363
4012,363
4017,362
4023,363
4029,358
4035,353
4040,352
4046,351
4052,351
4058,349
4063,345
4069,342
4075,341
4081,341
4086,341
4092,338
4098,333
4104,332
4109,332
4115,333
4121,329
4127,325
4132,322
4138,322
4144,323
4150,322
4155,318
4161,314
4167,313
4172,314
4178,315
4184,313
4190,309
4195,306
4201,307
4207,309
4213,306
4218,304
4224,300
4230,300
