Time,Potentiometer,Thermistor
99597,0,266
99798,0,266
99998,0,266
100199,0,265
100400,0,265
100600,0,265
100801,0,266
101003,0,264
101203,0,265
101404,0,264
101605,0,265
101806,0,264
102006,0,265
102207,0,264
102408,0,264
102608,0,264
102809,0,264
103010,0,264
103211,0,264
103412,0,263
103613,0,264
103814,0,263
104014,0,263
104215,0,264
104416,0,263
104616,0,263
104817,0,263
105018,0,263
105219,0,263
105419,0,262
105620,0,263
105822,0,262
106022,0,262
106223,0,261
106424,0,261
106625,0,262
106825,0,260
107026,0,261
107227,0,261
107427,0,260
107628,0,261
107829,0,262
108029,0,261
108231,0,260
108432,0,261
108633,0,261
108833,0,261
109034,0,259
109235,0,260
109435,0,259
109636,0,260
109837,0,259
110038,0,259
110238,0,258
110439,0,260
110641,0,259
110841,0,260
111042,0,258
111243,0,258
111443,0,258
111644,0,258
111845,0,258
112046,0,259
112246,0,257
112447,0,258
112648,0,258
112848,0,257
113050,0,258
113251,0,258
113452,0,258
113652,0,258
113853,0,258
114054,0,257
114254,0,258
114455,0,258
114656,0,257
114856,0,257
115057,0,257
115259,0,257
115460,0,257
115660,0,256
115861,0,256
116062,0,256
116262,0,256
116463,0,256
116664,0,256
116865,0,257
117065,0,255
117266,0,255
117467,0,257
117668,0,257
117869,0,257
118070,0,256
118270,0,256
118471,0,256
118672,0,255
118873,0,255
119073,0,256
119274,0,256
119475,0,255
119675,0,256
119876,0,255
120078,0,256
120279,0,255
120479,0,254
120680,0,257
120881,0,255
121081,0,255
121282,0,256
121483,0,254
121683,0,254
121884,0,254
122085,0,254
122286,0,255
122487,0,255
122688,0,254
122889,0,255
123089,0,254
123290,0,254
123491,0,256
123692,0,254
123892,0,255
124093,0,254
124294,0,255
124494,0,256
124695,0,254
124897,0,254
125097,0,255
125298,0,254
125499,0,255
125700,0,253
125900,0,254
126101,0,254
126302,0,255
126502,0,255
126703,0,254
126904,0,254
127106,0,256
127306,0,254
127507,0,254
127708,0,254
127908,0,253
128109,0,255
128310,0,253
128510,0,254
128711,0,254
128912,0,253
129113,0,254
129313,0,254
129515,0,254
129716,0,254
129916,0,255
130117,0,253
130318,0,253
130519,0,255
130719,0,254
130920,0,254
131121,0,254
131321,0,255
131522,0,254
131723,0,254
131924,0,254
132125,0,254
132326,0,254
132527,0,253
132727,0,254
132928,0,253
133129,0,253
133329,0,254
133530,0,254
133731,0,253
133932,0,254
134132,0,253
134334,0,254
134535,0,254
134735,0,253
134936,0,254
135137,0,253
135337,0,254
135538,0,255
135739,0,252
