Time,Potentiometer,Thermistor
86350,0,250
86551,0,250
86752,0,250
86952,0,250
87153,0,251
87354,0,250
87555,0,250
87755,0,250
87956,0,249
88157,0,250
88357,0,250
88558,0,250
88759,0,249
88960,0,250
89160,0,249
89361,0,250
89562,0,249
89762,0,250
89964,0,249
90165,0,249
90365,0,249
90566,0,249
90767,0,250
90968,0,250
91168,0,248
91369,0,248
91570,0,249
91770,0,248
91971,0,248
92172,0,248
92372,0,248
92573,0,249
92774,0,247
92975,0,248
93175,0,248
93376,0,248
93577,0,249
93777,0,247
93978,0,248
94179,0,248
94380,0,248
94580,0,248
94781,0,248
94983,0,247
95183,0,249
95384,0,247
95585,0,247
95785,0,247
95986,0,247
96187,0,248
96388,0,247
96588,0,248
96789,0,248
96990,0,247
97190,0,248
97391,0,247
97592,0,246
97793,0,247
97993,0,246
98194,0,246
98395,0,247
98595,0,245
98796,0,247
98997,0,248
99197,0,247
99398,0,247
99599,0,247
99801,0,246
100001,0,246
100202,0,247
100403,0,246
100603,0,246
100804,0,246
101005,0,246
101206,0,247
101406,0,246
101607,0,247
101808,0,247
102008,0,247
102209,0,247
102411,0,246
102611,0,246
102812,0,246
103013,0,246
103214,0,247
103414,0,246
103615,0,246
103816,0,246
104016,0,245
104217,0,247
104418,0,247
104619,0,245
104820,0,246
105021,0,246
105222,0,247
105422,0,247
105623,0,244
105824,0,246
106024,0,246
106225,0,245
106426,0,246
106627,0,246
106827,0,246
107028,0,245
107230,0,246
107430,0,245
107631,0,247
107832,0,245
108033,0,246
108233,0,246
108434,0,245
108635,0,245
108835,0,244
109036,0,246
109237,0,245
109437,0,246
109639,0,245
109840,0,244
110041,0,246
110241,0,245
110442,0,246
110643,0,245
110843,0,246
111044,0,245
111245,0,244
111446,0,245
111646,0,245
111847,0,245
112049,0,245
112249,0,245
112450,0,245
112651,0,245
112851,0,245
113052,0,244
113253,0,245
113454,0,246
113654,0,245
113855,0,245
114056,0,245
114257,0,246
114458,0,245
114659,0,246
114860,0,245
115060,0,245
115261,0,245
115462,0,244
115662,0,245
115863,0,244
116064,0,246
116264,0,245
116465,0,245
116667,0,244
116868,0,245
117068,0,245
117269,0,245
117470,0,245
117670,0,243
117871,0,246
118072,0,246
118273,0,244
118473,0,244
118674,0,247
118875,0,244
119076,0,245
119277,0,245
119478,0,246
119678,0,245
119879,0,244
120080,0,244
120281,0,245
120481,0,245
120682,0,245
120883,0,245
121083,0,244
121284,0,245
121486,0,246
121687,0,245
121887,0,245
122088,0,245
122289,0,246
122489,0,245
122690,0,244
122891,0,244
123091,0,244
123292,0,245
123493,0,245
123694,0,244
123895,0,245
124096,0,244
124297,0,245
124497,0,244
124698,0,244
124899,0,246
